alpha_two_code,Name,web_pages,state-province,domains,Address,logo,logo_flag,city
IN,"National Institute of Technology, Calicut",['http://www.nitc.ac.in/'],,,India,https://nitc.ac.in/xc-assets/logo/logo-black.svg,TRUE,Calicut
IN,"National Institute of Technology, Durgapur",['http://www.nitdgp.ac.in/'],,,India,https://www.nitdgp.ac.in/front/assets/images/logo.png,TRUE,Durgapur
IN,"National Institute of Technology, Jamshedpur",['http://www.nitjsr.ac.in/'],,,India,https://static.mygov.in/rest/s3fs-public/mygov_158325917365517631.jpg,FALSE,Jamshedpur
IN,"National Institute of Technology, Rourkela",['http://www.nitrkl.ac.in/'],,,India,https://www.nitrkl.ac.in/assets/images/pre-logo2.png,TRUE,Rourkela
IN,"National Institute of Technology, Trichy",['http://www.nitt.edu/'],,,India,https://in.mathworks.com/academia/tah-portal/national-institute-of-technology-trichy-40497271/_jcr_content/schoolLogo.adapt.full.high.png/1592560806536.png,FALSE,
IN,"National Institute of Technology, Warangal",['http://www.nitw.ernet.in/'],,,India,https://images.goklassifieds.com/2019/11/National-Institute-of-Technology-Warangal-Logo.png,FALSE,Warangal
IN,Netaji Subhas Inst of Technology,['http://www.nsit.ac.in/'],,,India,http://nsut.ac.in/sites/default/files/logo_nsut_0_0_0.png,TRUE,
IN,North Bengal University,['http://www.nbu.ac.in/'],,,India,https://www.nbu.ac.in/img/logo.png,TRUE,
IN,Punjab Engineering College Deemed University,['http://www.pec.ac.in/'],,,India,https://www.jobskar.com/uploads/orgimg/731c47e26d3b7367e35788da12d1ea0d.png,FALSE,
IN,RKDF University,['http://www.rkdf.ac.in/'],,,India,https://www.rkdf.ac.in/images/img/logo33.png,TRUE,Bhopal
