Name,Region,Address,Contact,Curriculum
St. Philomena's English School,Karnataka,"St. Philomena's English School,Sarjapura Attibele Main Road Bangalore, Anekal Taluk, Bengaluru, Karnataka ",['080-27805482'],ICSE
Martin Luther English School,Karnataka,"Martin Luther English School,15th Main Nagendra Block Girinagar Extn Bangalore, Bsk Iii Stage, Bengaluru, Karnataka ","['080-26729030', '080-26420970']",ICSE
Lady Vailankanni English School,Karnataka,"Lady Vailankanni English School,Varthur Behind Vinayaka Theatre, Bangalore, Bengaluru, Karnataka ","['080-28538201', '080-25969179']",ICSE
Kenneth George English School,Karnataka,"Kenneth George English School,#57 7th Cross Shri Bhuvaneshwari Nagar Coffee Board Layout Bangalore, Kempapura, Bengaluru, Karnataka ",['080-23533329'],ICSE
Green Valley English School,Karnataka,"Green Valley English School,Chunchaghatta Main Road Konanakunte Kanakapura Road, Bangalore, Bengaluru, Karnataka - 560062 ","['080-65834403', '080-65834404']",ICSE
Nightingales English School,Karnataka,"Nightingales English School,#1/b & C 3rd Main B. T. M. Iv Stage 1st Block, Bangalore, Bengaluru, Karnataka ",['080-26482213'],ICSE
M G School For Excellence,Karnataka,"M G School For Excellence,171 Someshwara Temple Road Bilekahalli Bangalore, Bannerghatta Road, Bengaluru, Karnataka ","['080-26485985', '080-65628565']",ICSE
Gnan Srishti School Of Excellence,Karnataka,"Gnan Srishti School Of Excellence,#85/63/61 19th Main 17th Cross Sector 1 Hsr Layout, Bangalore, Bengaluru, Karnataka ","['080-22582002', '080-22581845']",ICSE
Federal Public School,Karnataka,"Federal Public School,#27 Hegde Nagar Main Road International Airport Cargo Road Bangalore, Yelahanka, Bengaluru, Karnataka ","['080-28567277', '080-28567909']",ICSE
Florence Public School,Karnataka,"Florence Public School,#6 P & T Colony R. T. Nagar Bangalore, R.t. Nagar, Bengaluru, Karnataka ","['080-23531747', '080-23333938']",ICSE
St. Francis Xavier Girls' High School,Karnataka,"St. Francis Xavier Girls' High School,49 Promenade Road, Bangalore, Bengaluru, Karnataka - 560005 ",['080-25368222'],ICSE
Fusco's School,Karnataka,"Fusco's School,Old Madras Road Indiranagar, Bangalore, Bengaluru, Karnataka ",['080-25211025'],ICSE
S. G. M. Public School,Karnataka,"S. G. M. Public School,Muneshwara Block Mysore Road Avalahalli G. E. F. Post, Bangalore, Bengaluru, Karnataka ","['080-25905944', '9036722282']",ICSE
